sequence,time,latitude,logitude,altitude,utm_easting,utm_northing,zone_num,zone_letter
328,1644175654,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
329,1644175655,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
330,1644175656,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
331,1644175657,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
332,1644175658,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
333,1644175659,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
334,1644175660,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
335,1644175661,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
336,1644175662,42.33918762207031,-71.0848159790039,-3.5999999046325684,328257.09375,4689542.0,19,T
337,1644175663,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
338,1644175664,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
339,1644175665,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
340,1644175666,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
341,1644175667,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
342,1644175668,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
343,1644175669,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
344,1644175670,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
345,1644175671,42.33918762207031,-71.0848159790039,-3.5,328257.09375,4689542.0,19,T
346,1644175672,42.33918762207031,-71.08480834960938,-3.0,328257.21875,4689542.0,19,T
347,1644175673,42.33918762207031,-71.08480834960938,-3.0,328257.21875,4689542.0,19,T
348,1644175674,42.33918762207031,-71.08480834960938,-3.0,328257.21875,4689542.0,19,T
349,1644175675,42.33918762207031,-71.08480834960938,-3.0,328257.21875,4689542.0,19,T
350,1644175676,42.33918762207031,-71.08480834960938,-3.0,328257.21875,4689542.0,19,T
351,1644175677,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
352,1644175678,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
353,1644175679,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
354,1644175680,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
355,1644175681,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
356,1644175682,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
357,1644175683,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
358,1644175684,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
359,1644175685,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
360,1644175686,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
361,1644175687,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
362,1644175688,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
363,1644175689,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
364,1644175691,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
365,1644175692,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
366,1644175693,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
367,1644175694,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
368,1644175695,42.33918762207031,-71.08480834960938,-2.9000000953674316,328257.21875,4689542.0,19,T
