time,header,lat,lon,alt,u_e,u_n,zone,letter
1644098053247000153,"seq: 47
stamp: 
  secs: 1644098053
  nsecs: 245675802
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098054245664663,"seq: 48
stamp: 
  secs: 1644098054
  nsecs: 244337320
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098055248869876,"seq: 49
stamp: 
  secs: 1644098055
  nsecs: 247467756
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098056267336879,"seq: 50
stamp: 
  secs: 1644098056
  nsecs: 265777587
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098057248128924,"seq: 51
stamp: 
  secs: 1644098057
  nsecs: 246491670
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098058247701357,"seq: 52
stamp: 
  secs: 1644098058
  nsecs: 246965408
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098059270414382,"seq: 53
stamp: 
  secs: 1644098059
  nsecs: 269339323
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098060269583371,"seq: 54
stamp: 
  secs: 1644098060
  nsecs: 268039703
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098061267899103,"seq: 55
stamp: 
  secs: 1644098061
  nsecs: 267059803
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098062246959951,"seq: 56
stamp: 
  secs: 1644098062
  nsecs: 245912551
frame_id: ''",42.3395649,-71.084478,12.8,328285.7430184556,4689583.130874878,19,T
1644098063245827613,"seq: 57
stamp: 
  secs: 1644098063
  nsecs: 244141101
frame_id: ''",42.3395633,-71.084478,12.8,328285.73866304837,4689582.953207055,19,T
1644098064265128180,"seq: 58
stamp: 
  secs: 1644098064
  nsecs: 262722253
frame_id: ''",42.3395616,-71.084475,12.6,328285.9811784773,4689582.758376453,19,T
1644098065247232287,"seq: 59
stamp: 
  secs: 1644098065
  nsecs: 244374036
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098066264934344,"seq: 60
stamp: 
  secs: 1644098066
  nsecs: 263404607
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098067265842910,"seq: 61
stamp: 
  secs: 1644098067
  nsecs: 264097929
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098068246993000,"seq: 62
stamp: 
  secs: 1644098068
  nsecs: 245331048
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098069247375835,"seq: 63
stamp: 
  secs: 1644098069
  nsecs: 244989156
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098070247250330,"seq: 64
stamp: 
  secs: 1644098070
  nsecs: 245271444
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098071248242618,"seq: 65
stamp: 
  secs: 1644098071
  nsecs: 246565103
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098072246809330,"seq: 66
stamp: 
  secs: 1644098072
  nsecs: 245192289
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098073262904805,"seq: 67
stamp: 
  secs: 1644098073
  nsecs: 260910749
frame_id: ''",42.33956,-71.084475,12.1,328285.97682307655,4689582.58070863,19,T
1644098074262577935,"seq: 68
stamp: 
  secs: 1644098074
  nsecs: 261022090
frame_id: ''",42.3395583,-71.084473,11.7,328286.1369575026,4689582.387897547,19,T
1644098075267210781,"seq: 69
stamp: 
  secs: 1644098075
  nsecs: 266233682
frame_id: ''",42.3395583,-71.084473,11.7,328286.1369575026,4689582.387897547,19,T
1644098076250612422,"seq: 70
stamp: 
  secs: 1644098076
  nsecs: 247789859
frame_id: ''",42.3395583,-71.084473,11.7,328286.1369575026,4689582.387897547,19,T
1644098077245021164,"seq: 71
stamp: 
  secs: 1644098077
  nsecs: 243146181
frame_id: ''",42.3395583,-71.084473,11.3,328286.1369575026,4689582.387897547,19,T
1644098078245230727,"seq: 72
stamp: 
  secs: 1644098078
  nsecs: 243346691
frame_id: ''",42.3395583,-71.084473,11.3,328286.1369575026,4689582.387897547,19,T
1644098079244550718,"seq: 73
stamp: 
  secs: 1644098079
  nsecs: 243395566
frame_id: ''",42.3395583,-71.084473,11.3,328286.1369575026,4689582.387897547,19,T
1644098080243457159,"seq: 74
stamp: 
  secs: 1644098080
  nsecs: 242777824
frame_id: ''",42.3395583,-71.084473,11.3,328286.1369575026,4689582.387897547,19,T
1644098081245969719,"seq: 75
stamp: 
  secs: 1644098081
  nsecs: 242740631
frame_id: ''",42.339555,-71.084471,11.0,328286.29273654777,4689582.017418644,19,T
1644098082264015967,"seq: 76
stamp: 
  secs: 1644098082
  nsecs: 261425733
frame_id: ''",42.339555,-71.084471,11.0,328286.29273654777,4689582.017418644,19,T
1644098083245932029,"seq: 77
stamp: 
  secs: 1644098083
  nsecs: 244653224
frame_id: ''",42.339555,-71.084471,11.0,328286.29273654777,4689582.017418644,19,T
1644098084247178198,"seq: 78
stamp: 
  secs: 1644098084
  nsecs: 245933771
frame_id: ''",42.339555,-71.084471,11.0,328286.29273654777,4689582.017418644,19,T
1644098085246570614,"seq: 79
stamp: 
  secs: 1644098085
  nsecs: 245891809
frame_id: ''",42.339555,-71.084471,11.0,328286.29273654777,4689582.017418644,19,T
1644098086247013131,"seq: 80
stamp: 
  secs: 1644098086
  nsecs: 245805740
frame_id: ''",42.339555,-71.084471,10.9,328286.29273654777,4689582.017418644,19,T
1644098087247620015,"seq: 81
stamp: 
  secs: 1644098087
  nsecs: 246279239
frame_id: ''",42.339555,-71.084471,10.9,328286.29273654777,4689582.017418644,19,T
1644098088246838813,"seq: 82
stamp: 
  secs: 1644098088
  nsecs: 245895862
frame_id: ''",42.3395533,-71.08447,10.7,328286.3704899732,4689581.826627076,19,T
1644098089247630698,"seq: 83
stamp: 
  secs: 1644098089
  nsecs: 246360778
frame_id: ''",42.3395533,-71.08447,10.7,328286.3704899732,4689581.826627076,19,T
1644098090247013836,"seq: 84
stamp: 
  secs: 1644098090
  nsecs: 246128559
frame_id: ''",42.3395533,-71.08447,10.7,328286.3704899732,4689581.826627076,19,T
1644098091247290443,"seq: 85
stamp: 
  secs: 1644098091
  nsecs: 245763778
frame_id: ''",42.3395533,-71.08447,10.7,328286.3704899732,4689581.826627076,19,T
1644098092264919804,"seq: 86
stamp: 
  secs: 1644098092
  nsecs: 263420581
frame_id: ''",42.3395533,-71.08447,10.5,328286.3704899732,4689581.826627076,19,T
1644098093264577369,"seq: 87
stamp: 
  secs: 1644098093
  nsecs: 263438224
frame_id: ''",42.3395533,-71.08447,10.5,328286.3704899732,4689581.826627076,19,T
1644098094249642810,"seq: 88
stamp: 
  secs: 1644098094
  nsecs: 245769500
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098095265875457,"seq: 89
stamp: 
  secs: 1644098095
  nsecs: 265256881
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098096249622309,"seq: 90
stamp: 
  secs: 1644098096
  nsecs: 246205329
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098097246959189,"seq: 91
stamp: 
  secs: 1644098097
  nsecs: 245442390
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098098264993648,"seq: 92
stamp: 
  secs: 1644098098
  nsecs: 263496875
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098099248238293,"seq: 93
stamp: 
  secs: 1644098099
  nsecs: 245878934
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098100266691695,"seq: 94
stamp: 
  secs: 1644098100
  nsecs: 264124631
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098101247536020,"seq: 95
stamp: 
  secs: 1644098101
  nsecs: 246192932
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098102246753630,"seq: 96
stamp: 
  secs: 1644098102
  nsecs: 245692491
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098103247926180,"seq: 97
stamp: 
  secs: 1644098103
  nsecs: 246809244
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
1644098104246604229,"seq: 98
stamp: 
  secs: 1644098104
  nsecs: 244170904
frame_id: ''",42.3395533,-71.08447,10.4,328286.3704899732,4689581.826627076,19,T
