time,header,lat,lon,alt,u_e,u_n,zone,letter
1644349765321527926,"seq: 57
stamp: 
  secs: 1644349765
  nsecs: 320689916
frame_id: ''",42.3436566,-71.084181,17.3,328321.3471677089,4690036.88339786,19,T
1644349766281841800,"seq: 58
stamp: 
  secs: 1644349766
  nsecs: 280811548
frame_id: ''",42.3436649,-71.084168,17.3,328322.44064340147,4690037.778800022,19,T
1644349767322647055,"seq: 59
stamp: 
  secs: 1644349767
  nsecs: 319173097
frame_id: ''",42.343675,-71.084156,17.2,328323.45664264343,4690038.876097998,19,T
1644349768322573416,"seq: 60
stamp: 
  secs: 1644349768
  nsecs: 321018934
frame_id: ''",42.343685,-71.084143,17.2,328324.55474500434,4690039.96027265,19,T
1644349769324711272,"seq: 61
stamp: 
  secs: 1644349769
  nsecs: 321837425
frame_id: ''",42.3436933,-71.084131,17.3,328325.56584420055,4690040.8576944955,19,T
1644349770282054495,"seq: 62
stamp: 
  secs: 1644349770
  nsecs: 281478166
frame_id: ''",42.3437033,-71.084118,17.3,328326.66394592955,4690041.941869463,19,T
1644349771285294197,"seq: 63
stamp: 
  secs: 1644349771
  nsecs: 281648874
frame_id: ''",42.3437116,-71.084108,17.1,328327.51029339735,4690042.843329965,19,T
1644349772281586749,"seq: 64
stamp: 
  secs: 1644349772
  nsecs: 280950784
frame_id: ''",42.3437216,-71.084094,16.9,328328.69077010104,4690043.925486051,19,T
1644349773283998170,"seq: 65
stamp: 
  secs: 1644349773
  nsecs: 280763149
frame_id: ''",42.3437316,-71.084083,16.8,328329.62411975383,4690045.013699801,19,T
1644349774322090234,"seq: 66
stamp: 
  secs: 1644349774
  nsecs: 321339130
frame_id: ''",42.34374,-71.08407,16.7,328330.7178653206,4690045.920207442,19,T
1644349775284551287,"seq: 67
stamp: 
  secs: 1644349775
  nsecs: 280712604
frame_id: ''",42.34375,-71.084058,16.5,328331.7335899422,4690047.006402314,19,T
1644349776282267244,"seq: 68
stamp: 
  secs: 1644349776
  nsecs: 280761003
frame_id: ''",42.34376,-71.084046,16.4,328332.74931425473,4690048.0925973235,19,T
1644349777282773707,"seq: 69
stamp: 
  secs: 1644349777
  nsecs: 281280994
frame_id: ''",42.3437699,-71.084035,16.2,328333.6823905661,4690049.169707342,19,T
1644349778281430171,"seq: 70
stamp: 
  secs: 1644349778
  nsecs: 280368089
frame_id: ''",42.34378,-71.084023,16.0,328334.69838645257,4690050.267006868,19,T
1644349779320118524,"seq: 71
stamp: 
  secs: 1644349779
  nsecs: 319385766
frame_id: ''",42.34379,-71.08401,15.9,328335.79648533685,4690051.351183195,19,T
1644349780321385762,"seq: 72
stamp: 
  secs: 1644349780
  nsecs: 320138692
frame_id: ''",42.3437983,-71.083998,15.8,328336.80758148065,4690052.248606589,19,T
1644349781280580478,"seq: 73
stamp: 
  secs: 1644349781
  nsecs: 278917551
frame_id: ''",42.3438083,-71.083986,15.7,328337.82330427284,4690053.334802296,19,T
