sequence,time,latitude,logitude,altitude,utm_easting,utm_northing,zone_num,zone_letter
947,1644176274,42.33903884887695,-71.08477020263672,10.100000381469727,328260.125,4689525.5,19,T
948,1644176275,42.339046478271484,-71.08478546142578,10.100000381469727,328259.3125,4689526.0,19,T
949,1644176276,42.339054107666016,-71.08479309082031,10.100000381469727,328258.375,4689527.0,19,T
950,1644176277,42.33906173706055,-71.08480834960938,10.100000381469727,328257.4375,4689528.0,19,T
951,1644176278,42.33906936645508,-71.0848159790039,10.100000381469727,328256.625,4689528.5,19,T
952,1644176279,42.339073181152344,-71.08482360839844,10.100000381469727,328255.8125,4689529.5,19,T
953,1644176280,42.339080810546875,-71.08483123779297,10.0,328255.03125,4689530.0,19,T
954,1644176281,42.339088439941406,-71.08484649658203,10.0,328254.21875,4689531.0,19,T
955,1644176282,42.33909606933594,-71.08485412597656,10.0,328253.28125,4689531.5,19,T
956,1644176283,42.33910369873047,-71.08486938476562,10.0,328252.46875,4689532.5,19,T
957,1644176284,42.339111328125,-71.08487701416016,10.0,328251.53125,4689533.5,19,T
958,1644176285,42.33911895751953,-71.08488464355469,10.0,328250.71875,4689534.5,19,T
959,1644176286,42.33912658691406,-71.08489990234375,9.899999618530273,328249.90625,4689535.0,19,T
960,1644176287,42.339134216308594,-71.08490753173828,9.899999618530273,328248.96875,4689536.0,19,T
961,1644176288,42.339141845703125,-71.08492279052734,9.899999618530273,328248.03125,4689537.0,19,T
962,1644176289,42.33914566040039,-71.08493041992188,9.899999618530273,328247.21875,4689537.5,19,T
963,1644176290,42.33915328979492,-71.0849380493164,9.899999618530273,328246.4375,4689538.5,19,T
964,1644176291,42.33916091918945,-71.08495330810547,9.899999618530273,328245.5,4689539.5,19,T
965,1644176292,42.339168548583984,-71.0849609375,9.899999618530273,328244.6875,4689540.0,19,T
966,1644176293,42.339176177978516,-71.08497619628906,9.899999618530273,328243.875,4689541.0,19,T
967,1644176294,42.33918380737305,-71.0849838256836,9.899999618530273,328243.0625,4689542.0,19,T
968,1644176295,42.33919143676758,-71.08499145507812,9.800000190734863,328242.28125,4689542.5,19,T
969,1644176296,42.33919906616211,-71.08500671386719,9.800000190734863,328241.34375,4689543.5,19,T
970,1644176297,42.33920669555664,-71.08501434326172,9.800000190734863,328240.65625,4689544.5,19,T
971,1644176298,42.33921432495117,-71.08502197265625,9.699999809265137,328239.875,4689545.0,19,T
